,reading_id,prcp_bool,station,name,latitude,longitude,elevation,date,prcp,tobs
93,93,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-18,0.0,71
94,94,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-19,0.0,74
95,95,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-20,0.04,71
96,96,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-21,0.01,75
97,97,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-22,0.0,76
98,98,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-23,0.02,75
99,99,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-24,0.0,75
100,100,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-25,0.0,76
101,101,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-26,0.0,76
102,102,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-28,0.0,76
103,103,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-30,0.0,77
104,104,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-01,0.0,77
105,105,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-02,0.03,73
106,106,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-03,0.2,74
107,107,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-04,0.08,76
108,108,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-05,0.01,76
109,109,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-06,0.0,80
110,110,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-07,0.05,74
111,111,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-08,0.0,77
112,112,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-09,0.0,77
113,113,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-10,0.0,76
114,114,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-11,0.0,77
115,115,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-13,0.0,78
116,116,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-14,0.0,78
117,117,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-15,0.0,75
118,118,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-16,0.03,73
119,119,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-17,0.0,77
120,120,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-18,0.0,76
121,121,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-19,0.0,77
122,122,False,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-21,-10.0,77
123,123,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-22,0.0,78
124,124,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-23,0.05,75
125,125,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-24,0.0,77
126,126,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-25,0.0,77
127,127,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-26,0.02,77
128,128,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-27,0.0,76
129,129,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-28,0.0,75
130,130,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-29,0.0,77
131,131,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-30,0.0,77
132,132,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-05-31,0.0,77
133,133,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-01,0.0,78
134,134,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-02,0.01,76
135,135,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-03,0.0,78
136,136,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-04,0.0,76
137,137,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-05,0.0,77
138,138,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-06,0.0,78
139,139,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-07,0.0,77
140,140,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-08,0.0,78
141,141,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-09,0.0,78
142,142,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-10,0.0,79
143,143,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-11,0.0,78
144,144,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-12,0.0,78
145,145,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-13,0.0,78
146,146,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-14,0.0,77
147,147,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-15,0.0,78
148,148,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-16,0.0,78
149,149,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-17,0.0,77
150,150,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-18,0.0,77
151,151,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-19,0.0,82
152,152,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-20,0.0,78
153,153,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-21,0.0,78
154,154,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-22,0.0,78
155,155,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-23,0.0,78
156,156,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-24,0.0,78
157,157,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-25,0.0,77
158,158,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-26,0.02,76
